10,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,
48,8071,30582573,,8170,10438690,,8070,6016391,,8070,8992534,,7529,,0.0,8170,3285665,,7529,,0.0,8071,18500241,,8070,13842612,,5521,1062200,
49,8070,30582789,,7519,,0.0,7519,,0.0,8071,8995915,,8529,,1.0,7519,,0.0,8529,,1.0,8070,18501897,,8071,13842622,,8071,1219442,
50,8071,30582825,,8519,,0.0,8519,,1.0,8070,8996235,,9529,,0.0,8519,,0.0,9529,,0.0,8071,18502080,,8070,13842654,,7529,,0.0
51,8070,30584049,,9519,,0.0,9519,,0.0,8071,8996265,,5520,303694,,9519,,0.0,5520,22407124,,8070,18502320,,8071,13842727,,8529,,1.0
52,8170,30585469,,5521,10485690,,5521,6030393,,8070,8998658,,8171,303695,,5521,3319665,,8171,22407126,,8071,18502649,,8070,13843987,,9529,,0.0
53,7071,30589869,,8071,10487129,,8071,6267032,,8071,9007045,,8271,303695,,8071,3406133,,8271,22407126,,8170,18503154,,8071,13844062,,5520,1219442,
54,7070,30589980,,7529,,0.0,7529,,0.0,8070,9007648,,8270,303768,,7529,,0.0,8270,22407199,,8070,18503215,,8070,13845523,,8171,1219443,
55,7071,30589999,,8529,,1.0,8529,,1.0,7519,,0.0,8070,305083,,8529,,1.0,8070,22409197,,8071,18503786,,8071,13845534,,8271,1219443,
56,7070,30590024,,9529,,0.0,9529,,0.0,8519,,8.0,8170,306696,,9529,,0.0,8071,22409240,,8070,18504498,,8070,13845548,,8270,1219516,
57,7519,,2.0,5520,10487130,,5520,6267033,,9519,,0.0,7519,,0.0,5520,3406134,,8070,22409291,,8071,18511976,,8071,13845862,,8070,1221879,
58,8519,,0.0,8171,10487131,,8171,6267033,,5521,9025553,,8519,,0.0,8171,3406134,,8170,22410127,,8070,18513067,,8070,13845886,,8071,1221954,
59,9519,,0.0,8271,10487131,,8271,6267033,,8071,9037938,,9519,,0.0,8271,3406134,,8071,22423946,,8071,18513170,,8071,13848278,,8070,1222017,
60,5521,30619469,,8270,10487204,,8070,6267070,,7529,,0.0,5521,356696,,8270,3406208,,8070,22423991,,8070,18516706,,8070,13848346,,8071,1222193,
61,8071,31097236,,8070,10488190,,8270,6267106,,8529,,1.0,8071,496109,,8070,3407277,,8071,22424070,,8071,18516961,,8071,13853285,,8170,1222444,
62,7529,,0.0,8071,10488387,,8071,6267147,,9529,,0.0,7529,,0.0,8170,3409135,,8070,22427925,,8070,18517292,,8070,13856301,,8070,1222494,
63,8529,,1.0,8070,10488470,,8070,6268745,,5520,9037939,,8529,,1.0,7519,,0.0,8071,22428703,,9071,18525401,,8071,13857763,,7519,,0.0
64,9529,,0.0,8170,10490132,,8170,6270034,,8171,9037939,,9529,,0.0,8519,,0.0,8070,22429088,,9070,18525840,,8070,13857941,,8519,,0.0
65,5520,31097237,,7519,,0.0,8071,6280795,,8271,9037939,,5520,496109,,9519,,0.0,8071,22429114,,9071,18526221,,7071,13867066,,9519,,0.0
66,8171,31097238,,8519,,0.0,8070,6281615,,8270,9038012,,8171,496110,,5521,3454135,,8070,22430424,,9070,18529755,,7070,13867923,,5521,1267444,
67,8271,31097238,,9519,,0.0,7519,,0.0,8070,9039456,,8271,496110,,8071,3511373,,7519,,0.0,7519,,0.0,8071,13873112,,8071,1419482,
68,8070,31097263,,5521,10524132,,8519,,1.0,8170,9040940,,8270,496183,,7529,,0.0,8519,,4.0,8519,,4.0,8070,13873206,,7529,,0.0
69,8270,31097311,,8071,34649553,,9519,,0.0,8071,9041018,,8070,497190,,8529,,1.0,9519,,0.0,9519,,2.0,7519,,1.0,8529,,1.0
70,8071,31097405,,7529,,0.0,5521,6330034,,8070,9041292,,8170,499111,,9529,,0.0,5521,22450127,,5521,18554155,,8519,,11.0,9529,,0.0
71,8070,31097485,,8529,,1.0,8071,32132931,,7071,9065678,,7519,,0.0,5520,3511374,,8071,31507200,,8071,18563648,,9519,,0.0,5520,1419483,
72,8071,31097513,,9529,,0.0,7529,,0.0,7070,9067075,,8519,,0.0,8171,3511374,,7529,,0.0,7529,,0.0,5521,13887262,,8171,1419484,
73,8070,31097558,,5520,34649553,,8529,,1.0,7519,,1.0,9519,,0.0,8271,3511374,,8529,,1.0,8529,,1.0,8071,13958040,,8271,1419484,
74,8071,31097586,,8171,34649554,,9529,,0.0,8519,,1.0,5521,531111,,8270,3511447,,9529,,0.0,9529,,0.0,7529,,0.0,8270,1419557,
75,8070,31097641,,8271,34649554,,5520,32132932,,9519,,0.0,8071,32401384,,8070,3512771,,5520,31507201,,5520,18563649,,8529,,1.0,8070,1421036,
76,8071,31097682,,8270,34649627,,8171,32132933,,5521,9095940,,7529,,0.0,8170,3514375,,8171,31507202,,8171,18563650,,9529,,0.0,8170,1422485,
77,8070,31097724,,8070,34649955,,8271,32132933,,8071,9448704,,8529,,1.0,7519,,0.0,8271,31507202,,8271,18563650,,5520,13958041,,7519,,0.0
78,8071,31097754,,8071,34650224,,8070,32132947,,7529,,0.0,9529,,0.0,8519,,0.0,8070,31507228,,8070,18563675,,8171,13958041,,8519,,0.0
79,8070,31097906,,8070,34650231,,8270,32133006,,8529,,1.0,5520,32401385,,9519,,0.0,8071,31507249,,8270,18563723,,8271,13958041,,9519,,0.0
80,8071,31097939,,8170,34652555,,8071,32133428,,9529,,0.0,8171,32401386,,5521,3546375,,8270,31507275,,8071,18563885,,8270,13958114,,5521,1456485,
81,8070,31098003,,7519,,0.0,8170,32135934,,5520,9448704,,8271,32401386,,8071,3558794,,8070,31508555,,8070,18564011,,8070,13959277,,8071,10879265,
82,8071,31098036,,8519,,0.0,8070,32136679,,8171,9448705,,8270,32401459,,7529,,0.0,8071,31509475,,8071,18564036,,8170,13961042,,7529,,0.0
83,8070,31098093,,9519,,0.0,9071,32154898,,8271,9448705,,8070,32402130,,8529,,1.0,8170,31510203,,8070,18564071,,8071,13974549,,8529,,1.0
84,8071,31098136,,5521,34712555,,9070,32154989,,8270,9448778,,7071,32404033,,9529,,0.0,8070,31510657,,8071,18564141,,8070,13974876,,9529,,0.0
85,8070,31098191,,8071,34722508,,9071,32155157,,8070,9449976,,8170,32404387,,5520,3558795,,9071,31516849,,8070,18564496,,7519,,0.0,5520,10879266,
86,8071,31098234,,7529,,0.0,9070,32155317,,8170,9451706,,7070,32406756,,8171,3558796,,9070,31517268,,8071,18564539,,8519,,1.0,8171,10879267,
87,8070,31098291,,8529,,1.0,9071,32155417,,7519,,0.0,7071,32409106,,8271,3558796,,9071,31517513,,8070,18564560,,9519,,0.0,8271,10879267,
88,8071,31098315,,9529,,0.0,9070,32155719,,8519,,0.0,7070,32409115,,8270,3558870,,9070,31519716,,8071,18564924,,5521,13995042,,8270,10879340,
